parameter,true,mean_est,bias,std_dev,rmse,conv_rate
pi,0.4,0.44403546787186626,0.04403546787186628,0.04523391204869351,0.061486734748238285,0.0
alpha_2_k1,0.3,0.2830076651643739,-0.0169923348356261,0.053168680025946574,0.05322553076576478,0.0
gamma_k1,0.5,0.5104962550836475,0.010496255083647443,0.04356467132943475,0.04264110575511031,0.0
beta_sc_12_k1,0.55,0.5232383811973753,-0.026761618802624863,0.11293325734198541,0.11042967351858375,0.0
beta_sc_21_k1,0.5,0.4970821390835346,-0.002917860916465376,0.08462456935437435,0.08033492314616239,0.0
beta_dep_1_k1,0.25,0.25104360563215045,0.0010436056321504266,0.023303545148703562,0.02213230235568263,0.0
beta_dep_2_k1,0.25,0.24288214523876656,-0.0071178547612334555,0.04574127199772259,0.043973872060289285,0.0
alpha_2_k2,0.1,0.08723823390589244,-0.012761766094107563,0.0511628942494836,0.05018705258357151,0.0
gamma_k2,0.8,0.818337943429196,0.01833794342919587,0.03750993726395517,0.04003218734223319,0.0
beta_sc_12_k2,0.2,0.17266654189162478,-0.027333458108375223,0.09259593015907795,0.09199849773765147,0.0
beta_sc_21_k2,0.15,0.12286286864420996,-0.027137131355790024,0.061813554909276,0.06461615828638587,0.0
beta_dep_1_k2,0.4,0.40870684526390216,0.008706845263902141,0.02251409270788768,0.0230652354824953,0.0
beta_dep_2_k2,0.4,0.4138212616863484,0.013821261686348424,0.04285498451207262,0.0429409129197262,0.0
